date,name,value
2022-01,forcepoint,48
2022-01,LINE,8
2022-01,HashiCorp,3
2022-01,debian,795
2022-01,Proofpoint,3
2022-01,TianoCore,10
2022-01,hikvision,6
2022-01,Arm,3
2022-01,None,4
2022-01,Nozomi,19
2022-01,Profelis,2
2022-01,AppCheck,6
2022-01,ONEKEY,2
2022-01,Salesforce,12
2022-01,Gallagher,35
2022-01,SailPoint,2
2022-01,Logitech,2
2022-01,Baidu,2
2022-01,OpenBMC,2
2022-01,GE GP,2
2022-01,crafter,14
2022-01,Mirantis,5
2022-01,CSW,11
2022-01,avaya,60
2022-01,Kaspersky,130
2022-01,mongodb,41
2022-01,@huntr_ai,12
2022-01,SWI,46
2022-01,KNIME,2
2022-01,ASUSTOR1,1
2022-01,Netskope,2
2022-01,ZUSO ART,1
2022-01,Axis,10
2022-01,TV,1
2022-01,Medtronic,1
2022-01,Cybellum,1
2022-01,Arista,19
2022-01,Vaadin,22
2022-01,Tigera,2
2022-01,netflix,20
2022-01,Snow,5
2022-01,larry_cashdollar,84
2022-01,CPANSec,3
2022-01,THA-PSIRT,6
2022-01,Yugabyte,1
2023-01,mitre,103017
2023-01,Patchstack,3411
2023-01,GitHub_M,4873
2023-01,VulDB,2857
2023-01,microsoft,10113
2023-01,Wordfence,1513
2023-01,WPScan,3019
2023-01,zdi,2221
2023-01,Linux,2994
2023-01,adobe,5434
2023-01,google_android,4694
2023-01,@huntrdev,1606
2023-01,apple,6003
2023-01,ibm,6763
2023-01,redhat,11305
2023-01,intel,2898
2023-01,icscert,2946
2023-01,jpcert,2510
2023-01,talos,2163
2023-01,MediaTek,583
2023-01,oracle,7680
2023-01,Unisoc,589
2023-01,cisco,5660
2023-01,siemens,1257
2023-01,qualcomm,3130
2023-01,Chrome,3144
2023-01,apache,1374
2023-01,jenkins,1308
2023-01,huawei,1883
2023-01,Fluid Attacks,291
2023-01,Samsung Mobile,765
2023-01,dell,1600
2023-01,GitLab,717
2023-01,mozilla,1876
2023-01,fortinet,669
2023-01,TR-CERT,222
2023-01,sap,1139
2023-01,hackerone,1304
2023-01,hpe,1237
2023-01,INCIBE,227
2023-01,qnap,275
2023-01,twcert,464
2023-01,juniper,733
2023-01,nvidia,613
2023-01,HCL,226
2023-01,Mattermost,120
2023-01,AMD,416
2023-01,lenovo,494
2023-01,CERTVDE,328
2023-01,vmware,573
2023-01,trendmicro,416
2023-01,INCD,146
2023-01,tenable,455
2023-01,Google,171
2023-01,snyk,739
