date,name,value
2024-01,Zoom,162
2025-01,Zoom,192
2021-01,Zowe,2
2024-01,Zowe,7
2020-01,Zscaler,4
2021-01,Zscaler,9
2023-01,Zscaler,29
2024-01,Zscaler,42
2021-01,Zyxel,13
2022-01,Zyxel,41
2023-01,Zyxel,96
2024-01,Zyxel,133
2025-01,Zyxel,137
2015-01,adobe,519
2016-01,adobe,1068
2017-01,adobe,1518
2018-01,adobe,2024
2019-01,adobe,2643
2020-01,adobe,2985
2021-01,adobe,3553
2022-01,adobe,3935
2023-01,adobe,4562
2024-01,adobe,5313
2025-01,adobe,5825
2015-01,airbus,2
2017-01,airbus,12
2018-01,airbus,15
2019-01,airbus,21
2021-01,alibaba,1
2015-01,apache,1
2016-01,apache,49
2017-01,apache,215
2018-01,apache,390
2019-01,apache,524
2020-01,apache,684
2021-01,apache,880
2022-01,apache,1109
2023-01,apache,1368
2024-01,apache,1620
2025-01,apache,1702
2015-01,apple,647
2016-01,apple,1396
2017-01,apple,1900
2018-01,apple,2270
2019-01,apple,2660
2020-01,apple,3069
2021-01,apple,3694
2022-01,apple,4132
2023-01,apple,4661
2024-01,apple,5191
2025-01,apple,5486
2024-01,arcinfo,2
2025-01,arcinfo,3
2017-01,atlassian,74
2018-01,atlassian,117
2019-01,atlassian,202
2020-01,atlassian,268
2021-01,atlassian,336
2022-01,atlassian,351
2023-01,atlassian,369
2024-01,atlassian,385
2025-01,atlassian,386
2019-01,autodesk,9
2020-01,autodesk,16
2021-01,autodesk,49
2022-01,autodesk,114
2023-01,autodesk,146
2024-01,autodesk,247
2025-01,autodesk,273
2018-01,avaya,20
2019-01,avaya,39
2020-01,avaya,49
2021-01,avaya,58
2022-01,avaya,60
2023-01,avaya,63
2024-01,avaya,69
2025-01,avaya,70
2025-01,bizerba,4
2016-01,blackberry,5
2017-01,blackberry,16
2018-01,blackberry,21
2019-01,blackberry,24
2020-01,blackberry,26
2021-01,blackberry,36
2022-01,blackberry,44
2023-01,blackberry,49
2024-01,blackberry,61
2025-01,blackberry,62
